UNIQ_ID;OBJECTID_1
52703475;605580
53371889;605793
52733607;605895
52463713;605926
52962894;606013
52668295;606052
53367359;606103
52703442;606122
52698319;606502
52711702;606647
52669983;606760
52717687;606875
52793198;607025
53362640;607050
53165054;607134
52648109;607165
52686307;607183
53332444;607194
52718620;607332
52794267;607459
53331643;607466
53051704;607512
52660863;607599
52795753;607632
52666551;607683
52652503;607837
52405829;608025
52407963;608131
52413142;608142
52413210;608155
52411793;608159
52417761;608277
52431120;608515
52445638;608875
52451122;609073
53323545;609074
52462263;609222
52464313;609323
52495540;609613
52495197;609619
52489797;609628
52489909;609649
52490809;609674
53330844;609693
52493632;609726
52496866;609746
53331559;609749
52490952;609750
52490476;609754
53331978;609766
52604625;611199
52605186;611235
52652491;611336
52647502;611340
52648836;611358
52645597;611366
52648105;611371
53359699;611383
52649827;611392
52652527;611397
52652660;611439
52649050;611490
53361726;611550
52656651;611579
52654384;611596
52652058;611615
53360773;611618
52653474;611630
52653504;611644
52657424;611709
52655982;611743
52655998;611744
52657425;611760
52656970;611764
52654262;611769
52657477;611779
52658405;611784
52635525;611789
52670917;611814
52667787;611815
53363589;611825
52676731;611933
52679065;611934
52677668;611942
52679211;611949
53365412;611992
52663706;612183
52663715;612184
53362290;612216
52662778;612217
52663716;612234
52662975;612285
52703351;612339
52701665;612347
52702941;612372
52703391;612428
52719517;612622
52718236;612636
53367360;612663
52695097;612668
52694040;612735
52693503;612736
52733412;612747
52726435;612788
52733984;612806
52760109;612897
52760533;612928
52768255;612949
52768207;612958
52792457;613011
52792938;613021
52793387;613049
52799465;613088
52797120;613091
52799086;613126
52799256;613147
52803352;613160
53387502;613172
52802512;613174
52957716;613200
53050282;613455
53074584;613473
53142084;613672
53172914;613763
53177213;613781
53316514;613823
52404382;613835
52406198;613864
52404515;613886
53316457;613904
52411758;613976
52411770;613977
52414084;613979
53316176;614070
52416883;614094
52408422;614112
52431189;614380
52445037;614646
53322631;614650
52444494;614885
53319770;614992
52460931;615049
52464656;615073
52464774;615131
52462030;615173
52495237;615433
52490283;615456
52489532;615564
52537521;615892
52540821;615917
52648713;616958
52646436;616985
52645527;616988
52652469;616997
52646958;617001
52646990;617016
52650718;617034
52647018;617037
53360448;617054
53359952;617060
52649378;617079
52651703;617086
52648049;617093
52648566;617107
52650450;617128
53360566;617130
52656056;617151
52647732;617164
52649145;617166
52653856;617197
52656625;617222
52657951;617229
52653457;617267
52652086;617309
52653554;617325
52652109;617354
52655977;617386
52656518;617411
52657878;617417
52679513;617599
52684374;617654
52685232;617657
52688137;617686
52684080;617746
52666884;617856
53362295;617863
52663720;617864
52666053;617875
53363254;617893
52662603;617973
52698381;618014
52702372;618085
52703332;618088
52704919;618117
52717746;618162
52713628;618184
52716525;618192
52734457;618459
52761703;618569
52768209;618625
52769128;618629
52791326;618680
52792949;618701
52793902;618703
52792914;618707
52793341;618725
52799722;618747
52794210;618779
52794853;618801
53385277;618810
52801112;618814
53387436;618818
52794886;618820
53416126;618996
52963428;619005
52962009;619011
53051701;619164
53051755;619165
53051732;619168
53022857;619180
53100328;619257
53136351;619386
53451565;619416
53452746;619423
53170089;619437
53448422;619445
52657870;619539
52404765;619548
52405256;619553
52404509;619602
52405470;619623
52406987;619627
53315435;619640
52404671;619648
52403796;619668
52413153;619720
